MSFT
AAPL
NVDA
AMZN
META
GOOGL
BRK.B
GOOG
LLY
AVGO
JPM
TSLA
XOM
UNH
V
MA
PG
HD
JNJ
MRK
COST
ABBV
CRM
AMD
CVX
NFLX
BAC
WMT
PEP
KO
ADBE
LIN
TMO
DIS
ACN
WFC
MCD
CSCO
ORCL
ABT
GE
QCOM
CAT
INTC
INTU
VZ
IBM
CMCSA
AMAT
DHR
UBER
TXN
PFE
NOW
AMGN
COP
UNP
LOW
PM
ISRG
SPGI
GS
HON
NEE
AXP
MU
RTX
LRCX
BKNG
T
ETN
ELV
SYK
PGR
C
PLD
MS
BLK
TJX
MDT
NKE
BA
BMY
VRTX
SCHW
UPS
DE
CI
CB
SBUX
ADP
REGN
MMC
CVS
BSX
ADI
LMT
FI
KLAC
BX
MDLZ
AMT
GILD
PANW
SNPS
TMUS
CDNS
SHW
TGT
CMG
ICE
SO
WM
SLB
ZTS
CME
EQIX
MO
DUK
EOG
MPC
CL
ITW
CSX
ANET
PYPL
BDX
ABNB
PH
MCK
PSX
USB
APH
TT
TDG
NOC
FCX
FDX
AON
ORLY
HCA
PCAR
EMR
PNC
GD
NXPI
MAR
MCO
PXD
ROP
CTAS
CEG
MSI
MMM
ECL
VLO
EW
NSC
COF
ADSK
AIG
AZO
APD
AJG
HLT
DXCM
TRV
GM
F
TFC
WELL
SPG
SMCI
CPRT
ROST
DHI
URI
CARR
NUE
MCHP
WMB
OKE
IQV
PSA
CCI
AFL
MET
ALL
AEP
SRE
TEL
LULU
O
GWW
IDXX
JCI
MSCI
AMP
FAST
FIS
STZ
MNST
BK
KMB
DLR
FTNT
LEN
OXY
HUM
A
PRU
HES
AME
CNC
NEM
D
SYY
CTVA
DOW
OTIS
COR
LHX
CMI
GIS
PAYX
CSGP
ODFL
RSG
YUM
GEHC
IR
MLM
PWR
EXC
KR
IT
KVUE
CTSH
VMC
EL
PCG
FANG
KMI
MRNA
HAL
GPN
CDW
ACGL
DG
VRSK
PPG
BKR
ADM
ROK
PEG
DD
EFX
RCL
DFS
EA
MPWR
DVN
KDP
ON
ED
BIIB
EXR
HIG
XYL
FICO
DAL
VICI
FTV
ANSS
XEL
KHC
WST
HSY
RMD
CBRE
MTD
CHTR
WTW
TSCO
DLTR
KEYS
ZBH
CAH
EBAY
TROW
EIX
HWM
WY
HPQ
WAB
AVB
LYB
PHM
WEC
NVR
ULTA
BLDR
CHD
FITB
GLW
TRGP
DOV
RJF
DECK
MTB
BR
NDAQ
MOH
STT
AWK
TTWO
IRM
ALGN
SBAC
DTE
GRMN
HPE
APTV
STLD
PTC
ETR
CPAY
HUBB
STE
AXON
IFF
NTAP
WDC
GPC
ILMN
BAX
EQR
BALL
CTRA
ES
BRO
INVH
WAT
PPL
TDY
ARE
DRI
COO
HBAN
FE
RF
CINF
VLTO
CBOE
J
WBD
MKC
AEE
OMC
LVS
CLX
PFG
TXT
LH
NTRS
IEX
EXPE
HOLX
FSLR
AVY
WRB
CNP
STX
LDOS
SYF
MAS
TYL
ATO
EXPD
CMS
VTR
LUV
DPZ
SWKS
FDS
TER
EG
JBL
CE
PKG
CFG
VRSN
TSN
MRO
ENPH
CCL
AKAM
JBHT
TRMB
BBY
CF
EPAM
ESS
UAL
SNA
POOL
WBA
ALB
ZBRA
LW
NRG
MAA
EQT
K
SWK
LYV
BG
DGX
KEY
NDSN
HST
VTRS
L
LKQ
CAG
PNR
CRL
KMX
AMCR
IP
DOC
KIM
ROL
RVTY
SJM
MGM
LNT
JKHY
GEN
WRK
IPG
TAP
EVRG
AES
PODD
EMN
ALLE
JNPR
HII
BBWI
UDR
FFIV
QRVO
NI
UHS
TECH
AOS
TPR
TFX
MOS
INCY
APA
CPT
CTLT
DAY
HRL
AAL
NWSA
REG
GL
AIZ
HSIC
MTCH
WYNN
PAYC
BF.B
CZR
BXP
CHRW
CPB
NCLH
PNW
RHI
MKTX
ETSY
BWA
FMC
BEN
GNRC
FOXA
FRT
IVZ
RL
DVA
CMA
BIO
HAS
XRAY
MHK
PARA
VFC
FOX
NWS
